timeStamp,elapsed,label,responseCode,success,bytes,grpThreads,allThreads,Latency,Hostname
2013-12-26;18:12:13,744,Vue_connectee,200,true,2598,3,3,743,CI
2013-12-26;18:12:13,583,/app/user/logout,200,true,2321,3,3,159,CI
2013-12-26;18:12:13,441,/,200,true,1934,3,3,441,CI
2013-12-26;18:12:13,1026,Deconnexion,200,true,4255,3,3,600,CI
2013-12-26;18:12:13,658,/app/user/logout,200,true,2321,3,3,231,CI
2013-12-26;18:12:14,446,/,200,true,1992,3,4,446,CI
2013-12-26;18:12:14,448,Accueil,200,true,1992,3,4,446,CI
2013-12-26;18:12:14,696,/,200,true,1993,1,4,696,CI
2013-12-26;18:12:14,696,Accueil,200,true,1993,1,4,696,CI
2013-12-26;18:12:14,865,/,200,true,1934,3,4,865,CI
2013-12-26;18:12:13,1523,Deconnexion,200,true,4255,3,4,1096,CI
2013-12-26;18:12:15,579,/,200,true,1992,3,4,579,CI
2013-12-26;18:12:15,579,Accueil,200,true,1992,3,4,579,CI
2013-12-26;18:12:13,2903,/app/user/login,200,true,2374,3,5,2103,CI
2013-12-26;18:12:16,654,/,200,true,1993,2,5,654,CI
2013-12-26;18:12:16,655,Accueil,200,true,1993,2,5,654,CI
2013-12-26;18:12:16,930,/,200,true,1987,3,5,930,CI
2013-12-26;18:12:13,3834,Connexion,200,true,4361,3,5,3033,CI
2013-12-26;18:12:17,921,/,200,true,1993,3,6,921,CI
2013-12-26;18:12:17,921,Accueil,200,true,1993,3,6,921,CI
2013-12-26;18:12:17,1324,/account,200,true,2602,3,6,1324,CI
2013-12-26;18:12:17,1324,Vue_connectee,200,true,2602,3,6,1324,CI
2013-12-26;18:12:18,1174,/app/user/logout,200,true,2321,3,7,334,CI
2013-12-26;18:12:18,866,/,200,true,1993,4,7,866,CI
2013-12-26;18:12:18,867,Accueil,200,true,1993,4,7,866,CI
2013-12-26;18:12:19,915,/,200,true,1934,3,8,915,CI
